is_number,title,year,status,category,keywords,related_service,source_url
IS 13995: 1995,Unlined moulded rubber boots,1995,Mandatory (QCO),Compulsory Certification,"Unlined, moulded, rubber, boots",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16645: 2018,Moulded plastics footwear- Lined or Unlined polyurethane boots for general industrial use,2018,Mandatory (QCO),Compulsory Certification,"Moulded, plastics, footwear, Lined, Unlined, polyurethane",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16994: 2018,Footwear for men and women for municipal scavenging work,2018,Mandatory (QCO),Compulsory Certification,"Footwear, women, municipal, scavenging, work",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1989 (Part 1): 1986,Leather safety boots and shoes for miners,1989,Mandatory (QCO),Compulsory Certification,"Leather, safety, boots, shoes, miners",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1989 (Part.2): 1986,Leather safety boots and shoes for heavy metal industries,1989,Mandatory (QCO),Compulsory Certification,"Leather, safety, boots, shoes, heavy, metal",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3735: 1996,Canvas Shoes Rubber Sole,1996,Mandatory (QCO),Compulsory Certification,"Canvas, Shoes, Rubber, Sole",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3736: 1995,Canvas Boots Rubber Sole,1995,Mandatory (QCO),Compulsory Certification,"Canvas, Boots, Rubber, Sole",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3976: 2018,Safety Rubber Canvas Boots for Miners,2018,Mandatory (QCO),Compulsory Certification,"Safety, Rubber, Canvas, Boots, Miners",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 11226: 1993,Leather safety footwear having direct moulded rubber sole,1993,Mandatory (QCO),Compulsory Certification,"Leather, safety, footwear, having, direct, moulded",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14544: 1998,Leather safety footwear with direct moulded polyvinyl chloride (PVC) sole,1998,Mandatory (QCO),Compulsory Certification,"Leather, safety, footwear, with, direct, moulded",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15844(Part-1): 2023,Sports Footwear for General Purpose,2023,Mandatory (QCO),Compulsory Certification,"Sports, Footwear, General, Purpose",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15844(Part-2): 2023,Sports Footwear for Performance Sports Footwear,2023,Mandatory (QCO),Compulsory Certification,"Sports, Footwear, Performance",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15844(Part 3): 2024,Sports Footwear for Professional Sports Footwear,2024,Mandatory (QCO),Compulsory Certification,"Sports, Footwear, Professional",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17012: 2018,High ankle tactical boots with PU – Rubber sole,2018,Mandatory (QCO),Compulsory Certification,"High, ankle, tactical, boots, with, Rubber",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17037: 2018,Antiriot shoes,2018,Mandatory (QCO),Compulsory Certification,"Antiriot, shoes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17043 (Part-1): 2024,Shoes for Services,2024,Mandatory (QCO),Compulsory Certification,"Shoes, Services",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17043 (Part-2): 2024,Shoes for General Purpose,2024,Mandatory (QCO),Compulsory Certification,"Shoes, General, Purpose",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15298 (Part 2): 2016,Personal protective equipment – Part 2 Safety Footwear,2016,Mandatory (QCO),Compulsory Certification,"Personal, protective, equipment, Part, Safety, Footwear",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15298 ( Part 3) : 2019,Personal protective equipment – Part 3 Protective Footwear,2019,Mandatory (QCO),Compulsory Certification,"Personal, protective, equipment, Part, Protective, Footwear",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15298 (Part 4) : 2017,Personal protective equipment – Part 4 Occupational Footwear,2017,Mandatory (QCO),Compulsory Certification,"Personal, protective, equipment, Part, Occupational, Footwear",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4296 (Part 1):2016,Tools for Pressing Part 1 Round Punches with 60 Degrees Conical Head and Straight Shank,2016,Mandatory (QCO),Compulsory Certification,"Tools, Pressing, Part, Round, Punches, with",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4296 (Part 2):2016,Tools for Pressing Part 2 Punches with Cylindrical Head and Straight or Reduced Shank,2016,Mandatory (QCO),Compulsory Certification,"Tools, Pressing, Part, Punches, with, Cylindrical",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4296 (Part 3):2016,Tools for Pressing Part 3 Round Punches with 60 Degrees Conical Head and Reduced Shank,2016,Mandatory (QCO),Compulsory Certification,"Tools, Pressing, Part, Round, Punches, with",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4151: 2015,Helmet for riders of Two Wheeler Motor Vehicles,2015,Mandatory (QCO),Compulsory Certification,"Helmet, riders, Wheeler, Motor, Vehicles",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17550 (Part 1): 2021,Household Refrigerating Appliances- Characteristics and Test Methods part-1 General Requirements,2021,Mandatory (QCO),Compulsory Certification,"Household, Refrigerating, Appliances, Characteristics, Test, Methods",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7872: 2018,Freezers,2018,Mandatory (QCO),Compulsory Certification,Freezers,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1536: 2001,"Centrifugally cast (Spun) iron pressure pipes for water, gas and sewage",2001,Mandatory (QCO),Compulsory Certification,"Centrifugally, cast, Spun, iron, pressure, pipes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3989: 2009,"Centrifugally cast (Spun) iron spigot and socket soil, waste, ventilating and rainwater pipes, fittings and accessories",2009,Mandatory (QCO),Compulsory Certification,"Centrifugally, cast, Spun, iron, spigot, socket",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15905: 2011,"Hubless centrifugally cast (Spun) iron pipes, fittings and accessories – Spigot series",2011,Mandatory (QCO),Compulsory Certification,"Hubless, centrifugally, cast, Spun, iron, pipes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15769:2008,Flux Cored (Tubular) Electrodes for Gas Shielded and Self-Shielded Metal Welding of Carbon or Carbon- Manganese Steel,2008,Mandatory (QCO),Compulsory Certification,"Flux, Cored, Tubular, Electrodes, Shielded, Self",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15449 : Part 1 : 2004,Household Zig-Zag Sewing Machine Head,2004,Mandatory (QCO),Compulsory Certification,"Household, Sewing, Machine, Head",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16240 : 2023,Reverse Osmosis Based Point of Use Water Treatment System for Drinking Purposes,2023,Mandatory (QCO),Compulsory Certification,"Reverse, Osmosis, Based, Point, Water, Treatment",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1943:1995,A- twill Jute Bag,1943,Mandatory (QCO),Compulsory Certification,"twill, Jute",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2566:1993,B-twill Jute bags for packing foodgrains,1993,Mandatory (QCO),Compulsory Certification,"twill, Jute, bags, packing, foodgrains",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12650:2018,Jute bags for packing 50 Kg foodgrains,2018,Mandatory (QCO),Compulsory Certification,"Jute, bags, packing, foodgrains",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15138:2010,Jute bags for packing 50 Kg sugar,2010,Mandatory (QCO),Compulsory Certification,"Jute, bags, packing, sugar",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16186:2014,Light weight jute sacking bags for packing 50 Kg foodgrains,2014,Mandatory (QCO),Compulsory Certification,"Light, weight, jute, sacking, bags, packing",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16372:2015,Jute bags for packing up to 30 Kg foodgrains,2015,Mandatory (QCO),Compulsory Certification,"Jute, bags, packing, foodgrains",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17266:2019,Viscose Staple Fibres,2019,Mandatory (QCO),Compulsory Certification,"Viscose, Staple, Fibres",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15351 : 2015,Laminated High Density Polyethylene (HDPE) Woven Geomembrane for Water Proof Lining,2015,Mandatory (QCO),Compulsory Certification,"Laminated, High, Density, Polyethylene, HDPE, Woven",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15909 : 2020,Poly Vinyl Chloride (PVC) Geomembranes,2020,Mandatory (QCO),Compulsory Certification,"Poly, Vinyl, Chloride, Geomembranes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16653 : 2017,Needle punched non-woven geobags,2017,Mandatory (QCO),Compulsory Certification,"Needle, punched, woven, geobags",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16654: 2017,Polypropylene Multifilament woven geobags,2017,Mandatory (QCO),Compulsory Certification,"Polypropylene, Multifilament, woven, geobags",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14715 (Part 1): 2016,Jute Geotextiles,2016,Mandatory (QCO),Compulsory Certification,"Jute, Geotextiles",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14715 (Part 2): 2016,Jute Geotextiles,2016,Mandatory (QCO),Compulsory Certification,"Jute, Geotextiles",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15869 : 2020,Open Weave Coir Bhoovastra,2020,Mandatory (QCO),Compulsory Certification,"Open, Weave, Coir, Bhoovastra",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16391 : 2015,Geotextiles used in sub-grade separation in pavement structures,2015,Mandatory (QCO),Compulsory Certification,"Geotextiles, used, grade, separation, pavement, structures",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16393 : 2015,Geotextiles used in Subsurface Drainage Application,2015,Mandatory (QCO),Compulsory Certification,"Geotextiles, used, Subsurface, Drainage, Application",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16362 : 2020,Geotextiles used in Sub-grade Stabilisation in pavement structures,2020,Mandatory (QCO),Compulsory Certification,"Geotextiles, used, grade, Stabilisation, pavement, structures",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16352 : 2020,High Density Polyethylene (HDPE) Geomembranes for lining,2020,Mandatory (QCO),Compulsory Certification,"High, Density, Polyethylene, HDPE, Geomembranes, lining",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16090:2013,Geotextiles used as protection (or cushioning) materials,2013,Mandatory (QCO),Compulsory Certification,"Geotextiles, used, protection, cushioning, materials",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16392:2015,Geotextiles for permanent erosion control in hard armor systems,2015,Mandatory (QCO),Compulsory Certification,"Geotextiles, permanent, erosion, control, hard, armor",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17371:2020,Geogrids for flexible pavements,2020,Mandatory (QCO),Compulsory Certification,"Geogrids, flexible, pavements",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17372:2020,Polymeric strip or geostrip used as soil reinforcement in retaining structures,2020,Mandatory (QCO),Compulsory Certification,"Polymeric, strip, geostrip, used, soil, reinforcement",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17373:2020,Geogrids used in reinforced soil retaining structures,2020,Mandatory (QCO),Compulsory Certification,"Geogrids, used, reinforced, soil, retaining, structures",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17374:2020,Reinforced HDPE membrane for effluents and chemical resistance lining,2020,Mandatory (QCO),Compulsory Certification,"Reinforced, HDPE, membrane, effluents, chemical, resistance",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17483 (Part 1): 2020,Geocells,2020,Mandatory (QCO),Compulsory Certification,Geocells,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17483 (Part 2): 2020,Geocells,2020,Mandatory (QCO),Compulsory Certification,Geocells,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17880 :2022,Geosynthetics — Synthetic Polymer RopeGabions for Coastal and Waterways Protection — Specification,2022,Mandatory (QCO),Compulsory Certification,"Geosynthetics, Synthetic, Polymer, RopeGabions, Coastal, Waterways",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15741 : 2007,Curtains and Drapes,2007,Mandatory (QCO),Compulsory Certification,"Curtains, Drapes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16890 : 2018,Protective clothing for firefighters,2018,Mandatory (QCO),Compulsory Certification,"Protective, clothing, firefighters",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16874 : 2018,Protective gloves for firefighters,2018,Mandatory (QCO),Compulsory Certification,"Protective, gloves, firefighters",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15748 : 2022,Protective clothing for industrial workers exposed to heat,2022,Mandatory (QCO),Compulsory Certification,"Protective, clothing, industrial, workers, exposed, heat",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15742 : 2007,Clothing made of limited flame spread materials and material assemblies affording protection against heat and flame,2007,Mandatory (QCO),Compulsory Certification,"Clothing, made, limited, flame, spread, materials",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15809 : 2017,High visibility Warning Clothes,2017,Mandatory (QCO),Compulsory Certification,"High, visibility, Warning, Clothes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16655 : 2017,Protective Clothing for use in welding and allied processes,2017,Mandatory (QCO),Compulsory Certification,"Protective, Clothing, welding, allied, processes",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16725 : 2018,Tactical 3 point sling,2018,Mandatory (QCO),Compulsory Certification,"Tactical, point, sling",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16726 : 2018,Pouch for ammunition and grenades made of disruptive pattern nylon-66,2018,Mandatory (QCO),Compulsory Certification,"Pouch, ammunition, grenades, made, disruptive, pattern",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17051 : 2018,Bullet resistant jackets,2018,Mandatory (QCO),Compulsory Certification,"Bullet, resistant, jackets",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17286 : 2019,Water-proof multipurpose rain poncho,2019,Mandatory (QCO),Compulsory Certification,"Water, proof, multipurpose, rain, poncho",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15768 : 2008,Upholstered composites used for non-domestic furniture,2008,Mandatory (QCO),Compulsory Certification,"Upholstered, composites, used, domestic, furniture",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS/ISO 9994:2018,Lighters- Safety Specifications,2018,Mandatory (QCO),Compulsory Certification,"Lighters, Safety, Specifications",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS/ISO 22702:2018,Utility Lighters – Safety Specifications,2018,Mandatory (QCO),Compulsory Certification,"Utility, Lighters, Safety, Specifications",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17803: 2022,"Potable Water Bottles (Copper, Stainless Steel, Aluminum)",2022,Mandatory (QCO),Compulsory Certification,"Potable, Water, Bottles, Copper, Stainless, Steel",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 814 : 2004,Covered electrodes for manual metal arc welding of carbon and carbon manganese steel,2004,Mandatory (QCO),Compulsory Certification,"Covered, electrodes, manual, metal, welding, carbon",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 6419 : 1996,Welding rode and bare electrodes for gas shielded arc welding of structural steel,1996,Mandatory (QCO),Compulsory Certification,"Welding, rode, bare, electrodes, shielded, welding",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16444 Part 1,A.C. Static Direct Connected Watt Hour Smart Meter Class 1 and 2,2023,Mandatory (QCO),Compulsory Certification,"Static, Direct, Connected, Watt, Hour, Smart",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16444 Part 2,"A.C. Static Transformer Operated Watt Hour and Var-Hour Smart Meters, Class 0.2S, 0.5S and 1.0S",Current,Mandatory (QCO),Compulsory Certification,"Static, Transformer, Operated, Watt, Hour, Smart",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17790 : 2022,Insulated Flask for Domestic Use,2022,Mandatory (QCO),Compulsory Certification,"Insulated, Flask, Domestic",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17526 : 2021,Domestic Stainless steel vacuum flask/bottle,2021,Mandatory (QCO),Compulsory Certification,"Domestic, Stainless, steel, vacuum, flask, bottle",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17569: 2021,Insulated Container for Food Storage,2021,Mandatory (QCO),Compulsory Certification,"Insulated, Container, Food, Storage",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3513 (Part 1) : 1989,Resin treated compressed wood laminates (compregs) – For electrical purposes,1989,Mandatory (QCO),Compulsory Certification,"Resin, treated, compressed, wood, laminates, compregs",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3513 (Part 2) : 1989,Resin treated compressed wood laminates (compregs) – For chemical purposes,1989,Mandatory (QCO),Compulsory Certification,"Resin, treated, compressed, wood, laminates, compregs",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3513 (Part 3) : 1989,Resin treated compressed wood laminates (compregs) – For general purposes,1989,Mandatory (QCO),Compulsory Certification,"Resin, treated, compressed, wood, laminates, compregs",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1363 (Part 1) :2019,"Hexagon Head Bolts, Screws and Nuts of product Grade C Hexagon Head Bolts (Size Range M 5 to M 64)",2019,Mandatory (QCO),Compulsory Certification,"Hexagon, Head, Bolts, Screws, Nuts, product",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1363 (Part 2) :2018,Hexagon Head Screw (Size ranges from M 5 to 64),2018,Mandatory (QCO),Compulsory Certification,"Hexagon, Head, Screw, Size, ranges, from",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1363 (Part 3) :2018,"Hexagon Head Bolts, Screws and Nuts of product Grade C – Hexagon Nuts (Size Range M5 to M64)",2018,Mandatory (QCO),Compulsory Certification,"Hexagon, Head, Bolts, Screws, Nuts, product",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1364 (Part 1) :2018,"Hexagon Head Bolts, Screws and Nuts of product Grades A and B – Hexagon Head Bolts (Size Range M 1.6 To M 64)",2018,Mandatory (QCO),Compulsory Certification,"Hexagon, Head, Bolts, Screws, Nuts, product",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1364 (Part 2) :2018,"Hexagon Head Bolts, Screws and Nuts of Product Grades A and B – Hexagon Head Screws (Size Range M 1.6 to M 64)",2018,Mandatory (QCO),Compulsory Certification,"Hexagon, Head, Bolts, Screws, Nuts, Product",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4621:1975,Indicating Bolts for use in public baths and lavatories,1975,Mandatory (QCO),Compulsory Certification,"Indicating, Bolts, public, baths, lavatories",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 5187: 1972,Flush Bolts,1972,Mandatory (QCO),Compulsory Certification,"Flush, Bolts",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 10238:2001,Fasteners – Threaded Steel Fastener – Step Bolts for Steel Structures,2001,Mandatory (QCO),Compulsory Certification,"Fasteners, Threaded, Steel, Fastener, Step, Bolts",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12427 : 2001,Fasteners – Threaded Steel Fasteners – Hexagon Head Transmission Tower Bolts,2001,Mandatory (QCO),Compulsory Certification,"Fasteners, Threaded, Steel, Hexagon, Head, Transmission",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 3757 : 1985,High Strength Structural Bolts,1985,Mandatory (QCO),Compulsory Certification,"High, Strength, Structural, Bolts",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 204 (Part 2): 1992,Tower Bolts- Non-ferrous metal,1992,Mandatory (QCO),Compulsory Certification,"Tower, Bolts, ferrous, metal",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 204 (Part 1): 1991,Tower Bolts- Ferrous metals,1991,Mandatory (QCO),Compulsory Certification,"Tower, Bolts, Ferrous, metals",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 15834 : 2022,Stainless Steel Sliding Door Bolts (Aldrops) for use With Padlocks,2022,Mandatory (QCO),Compulsory Certification,"Stainless, Steel, Sliding, Door, Bolts, Aldrops",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2681 : 1993,Non-ferrous metal sliding door bolts (aldrops) for use with padlocks,1993,Mandatory (QCO),Compulsory Certification,"ferrous, metal, sliding, door, bolts, aldrops",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 281 : 2009,Mild steel sliding door bolts for use with padlocks,2009,Mandatory (QCO),Compulsory Certification,"Mild, steel, sliding, door, bolts, with",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7534: 1985,Sliding locking bolts for use with padlocks,1985,Mandatory (QCO),Compulsory Certification,"Sliding, locking, bolts, with, padlocks",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 1284 : 1975,Wrought Aluminium Alloy Bolt and Screw Stock for General Engineering purposes,1975,Mandatory (QCO),Compulsory Certification,"Wrought, Aluminium, Alloy, Bolt, Screw, Stock",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
