is_number,title,year,status,category,keywords,related_service,source_url
IS 15030:2001,Terephthalic Acid,2001,Mandatory (QCO),Compulsory Certification,"Terephthalic, Acid",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14707: 1999,Methyl Acrylate,1999,Mandatory (QCO),Compulsory Certification,"Methyl, Acrylate",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14708:1999,Ethyl Acrylate,1999,Mandatory (QCO),Compulsory Certification,"Ethyl, Acrylate",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12345:1988,Vinyl Acetate Monomer,1988,Mandatory (QCO),Compulsory Certification,"Vinyl, Acetate, Monomer",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4105:2020,Styrene (Vinyl Benzene),2020,Mandatory (QCO),Compulsory Certification,"Styrene, Vinyl, Benzene",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 5149:2020,"Maleic Anhydride, Technical",2020,Mandatory (QCO),Compulsory Certification,"Maleic, Anhydride, Technical",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12540:1988,Acrylonitrile,1988,Mandatory (QCO),Compulsory Certification,Acrylonitrile,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17265:2019,100 Percent. Polyester Spun Grey and White Yarn (PSY),2019,Mandatory (QCO),Compulsory Certification,"Percent, Polyester, Spun, Grey, White, Yarn",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17261:2019,Polyester Continuous Filament Fully Drawn Yarn (FDY),2019,Mandatory (QCO),Compulsory Certification,"Polyester, Continuous, Filament, Fully, Drawn, Yarn",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17264:2019,Polyester Industrial Yarn (IDY),2019,Mandatory (QCO),Compulsory Certification,"Polyester, Industrial, Yarn",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17262:2019,Polyester Partially Oriented Yarn (POY),2019,Mandatory (QCO),Compulsory Certification,"Polyester, Partially, Oriented, Yarn",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17263:2019,Polyester Staple Fibres (PSF),2019,Mandatory (QCO),Compulsory Certification,"Polyester, Staple, Fibres",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7328:2020,Polyethylene Material for moulding and extrusion(i) Low Density Polyethylene (LDPE)(ii) Linear Low-Density Polyethylene (LLDPE)(iii) High Density Polyethylene (HDPE),2020,Mandatory (QCO),Compulsory Certification,"Polyethylene, Material, moulding, extrusion, Density, LDPE",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 11356:2020,Styrene-Butadiene Rubber Latex,2020,Mandatory (QCO),Compulsory Certification,"Styrene, Butadiene, Rubber, Latex",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 16481:2016,Synthetic Micro-Fibres for use in Cement Based Matrix,2016,Mandatory (QCO),Compulsory Certification,"Synthetic, Micro, Fibres, Cement, Based, Matrix",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 12795:2020,Linear Alkyl Benzene,2020,Mandatory (QCO),Compulsory Certification,"Linear, Alkyl, Benzene",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 13601:1993,Ethylene Vinyl Acetate (EVA) Copolymers,1993,Mandatory (QCO),Compulsory Certification,"Ethylene, Vinyl, Acetate, Copolymers",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 7686:2020,"3(N, N-DiEthyl) Aminophenol",2020,Mandatory (QCO),Compulsory Certification,"DiEthyl, Aminophenol",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 4566:2020,Methylene Chloride (Dichloromethane),2020,Mandatory (QCO),Compulsory Certification,"Methylene, Chloride, Dichloromethane",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 2012:2006,Red Phosphorus,2012,Mandatory (QCO),Compulsory Certification,Phosphorus,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17077 :2019/ISO 19062-1 : 2015,Acrylonitrile Butadiene Styrene (ABS),2019,Mandatory (QCO),Compulsory Certification,"Acrylonitrile, Butadiene, Styrene",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 869:2020,Ethylene Dichloride,2020,Mandatory (QCO),Compulsory Certification,"Ethylene, Dichloride",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17370:2020,p-Xylene,2020,Mandatory (QCO),Compulsory Certification,Xylene,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 14434:1998,Polycarbonate,1998,Mandatory (QCO),Compulsory Certification,Polycarbonate,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17397 (Part 1) : 2020/ISO 16365-1 : 2014,Polyurethanes,2020,Mandatory (QCO),Compulsory Certification,Polyurethanes,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17442:2020,Vinyl Chloride Monomer,2020,Mandatory (QCO),Compulsory Certification,"Vinyl, Chloride, Monomer",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 17450 : 2020,"1,3 Phenylenediamine",2020,Mandatory (QCO),Compulsory Certification,Phenylenediamine,Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
IS 10931 : 1984,Lauric Acid,1984,Mandatory (QCO),Compulsory Certification,"Lauric, Acid",Product Certification (Scheme I),https://www.bis.gov.in/product-certification/products-under-compulsory-certification/scheme-i-mark-scheme/?lang=en
